what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354940482632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940487408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940513425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940522335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940534782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940535981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940547745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940550180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940554268
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1354940554528
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1354940554552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940568827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940575467
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354940580120
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354940580236
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1354940581077
started,bundle,org.eclipse.dltk.ruby.core,2.0.0.v20100524-0038,"org.eclipse.dltk.ruby.core",1354940581238
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1354940581294
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1354940581359
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1354940581826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940582081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940600793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354940611947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940614220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940617733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354940619457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354940619986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354940621061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940622702
